Date,MeanR,StdR,Code
20/07/2020,2.060872799,0.381140394,AD
21/07/2020,1.75124467,0.324579393,AD
22/07/2020,1.790536824,0.302640449,AD
23/07/2020,1.594821623,0.270493858,AD
24/07/2020,1.770162128,0.270374186,AD
25/07/2020,1.598965761,0.246540139,AD
26/07/2020,1.444859872,0.219846437,AD
27/07/2020,1.546731405,0.220972719,AD
28/07/2020,1.347213337,0.197212332,AD
29/07/2020,1.532851549,0.2047652,AD
30/07/2020,1.151438758,0.169633265,AD
31/07/2020,1.095318365,0.162200678,AD
01/08/2020,1.074150002,0.158690034,AD
02/08/2020,1.061130479,0.157025889,AD
03/08/2020,1.239179555,0.168308639,AD
04/08/2020,1.260689438,0.169829176,AD
05/08/2020,1.108474802,0.155483433,AD
06/08/2020,1.18324429,0.156976794,AD
07/08/2020,1.218130141,0.158439972,AD
07/03/2020,2.365514863,0.415725325,AE
08/03/2020,2.030960783,0.357204015,AE
09/03/2020,1.722668659,0.304802919,AE
10/03/2020,2.854348474,0.365623126,AE
11/03/2020,2.355039309,0.308679512,AE
12/03/2020,2.239848535,0.272986411,AE
13/03/2020,1.704959017,0.212429937,AE
14/03/2020,1.439740869,0.17994805,AE
15/03/2020,1.573755881,0.182725344,AE
16/03/2020,1.452730391,0.166549905,AE
17/03/2020,1.244833126,0.147945363,AE
18/03/2020,1.421745496,0.155978186,AE
19/03/2020,1.733804073,0.166248071,AE
20/03/2020,1.588647537,0.151989561,AE
21/03/2020,1.398601637,0.135505126,AE
22/03/2020,1.294775325,0.126850891,AE
23/03/2020,1.725402024,0.139754577,AE
24/03/2020,1.806483903,0.139597467,AE
25/03/2020,2.393868233,0.154381903,AE
26/03/2020,1.940832581,0.129419246,AE
27/03/2020,2.120254427,0.127077319,AE
28/03/2020,2.162482092,0.120140005,AE
29/03/2020,2.250764792,0.117096549,AE
30/03/2020,2.046616747,0.103499469,AE
31/03/2020,1.910161376,0.093122684,AE
01/04/2020,2.039925778,0.091336914,AE
02/04/2020,2.21428568,0.0907129,AE
03/04/2020,2.380665458,0.091156223,AE
04/04/2020,2.369398906,0.089178263,AE
05/04/2020,2.368392268,0.085706515,AE
06/04/2020,2.217779888,0.079566488,AE
07/04/2020,2.067360469,0.071125926,AE
08/04/2020,1.92492201,0.063248724,AE
09/04/2020,1.892621139,0.059015866,AE
10/04/2020,1.831210423,0.054267963,AE
11/04/2020,1.775464171,0.049932206,AE
12/04/2020,1.705387745,0.046363865,AE
13/04/2020,1.67283128,0.043495852,AE
14/04/2020,1.638975226,0.04067055,AE
15/04/2020,1.575957048,0.037971785,AE
16/04/2020,1.510847634,0.035301108,AE
17/04/2020,1.453258617,0.032519913,AE
18/04/2020,1.28053406,0.028332383,AE
19/04/2020,1.253078127,0.026066588,AE
20/04/2020,1.247605593,0.024488949,AE
21/04/2020,1.245348122,0.02312226,AE
22/04/2020,1.237440983,0.021752821,AE
23/04/2020,1.23003254,0.021257576,AE
24/04/2020,1.215766808,0.020381135,AE
25/04/2020,1.203271843,0.019571688,AE
26/04/2020,1.190831684,0.019041052,AE
27/04/2020,1.169770025,0.018308661,AE
28/04/2020,1.15913294,0.01766383,AE
29/04/2020,1.148388124,0.017206664,AE
30/04/2020,1.135392746,0.016469841,AE
01/05/2020,1.122416688,0.015992507,AE
02/05/2020,1.190119256,0.016372081,AE
03/05/2020,1.173214169,0.015856886,AE
04/05/2020,1.152175764,0.015434379,AE
05/05/2020,1.116929045,0.01499768,AE
06/05/2020,1.100939338,0.014557395,AE
07/05/2020,1.078395423,0.014133561,AE
08/05/2020,1.066587271,0.013585133,AE
09/05/2020,1.066598456,0.013610001,AE
10/05/2020,1.089469128,0.013202904,AE
11/05/2020,1.101925365,0.013188111,AE
12/05/2020,1.117556295,0.013464311,AE
13/05/2020,1.120801659,0.013121739,AE
14/05/2020,1.117812182,0.013101506,AE
15/05/2020,1.119812754,0.013064585,AE
16/05/2020,1.126759561,0.013078287,AE
17/05/2020,1.123826061,0.012834647,AE
18/05/2020,1.132101544,0.012776171,AE
19/05/2020,1.155959322,0.012991726,AE
20/05/2020,1.173298743,0.013200692,AE
21/05/2020,1.184949112,0.013196983,AE
22/05/2020,1.197352927,0.013252825,AE
23/05/2020,1.17898104,0.01313475,AE
24/05/2020,1.142190836,0.012900805,AE
25/05/2020,1.125121526,0.012678598,AE
26/05/2020,1.098956371,0.012170402,AE
27/05/2020,1.093106032,0.011826683,AE
28/05/2020,1.062785482,0.011399609,AE
29/05/2020,1.039198888,0.011017776,AE
30/05/2020,1.024143688,0.010802629,AE
31/05/2020,1.012727747,0.010438641,AE
01/06/2020,0.992218056,0.010070608,AE
02/06/2020,0.967791312,0.009886927,AE
03/06/2020,0.938119143,0.009557506,AE
04/06/2020,0.924979318,0.009514417,AE
05/06/2020,0.902546971,0.009352885,AE
06/06/2020,0.899829039,0.009456249,AE
07/06/2020,0.893485212,0.009603812,AE
08/06/2020,0.88626244,0.009621787,AE
09/06/2020,0.879260291,0.009763735,AE
10/06/2020,0.87016349,0.009951035,AE
11/06/2020,0.88188167,0.010057293,AE
12/06/2020,0.888670101,0.010441312,AE
13/06/2020,0.882115545,0.010405778,AE
14/06/2020,0.860882243,0.010332634,AE
15/06/2020,0.847749023,0.010573053,AE
16/06/2020,0.840796843,0.010885961,AE
17/06/2020,0.841813802,0.011052378,AE
18/06/2020,0.832929297,0.011327107,AE
19/06/2020,0.828307077,0.011472962,AE
20/06/2020,0.822635822,0.011810829,AE
21/06/2020,0.828941228,0.012188795,AE
22/06/2020,0.828672056,0.012296525,AE
23/06/2020,0.833170782,0.012653783,AE
24/06/2020,0.836062003,0.012725963,AE
25/06/2020,0.853597722,0.013478134,AE
26/06/2020,0.861271738,0.013519981,AE
27/06/2020,0.866425681,0.013672998,AE
28/06/2020,0.909326066,0.014096813,AE
29/06/2020,0.944921856,0.014582308,AE
30/06/2020,0.969839764,0.014637025,AE
01/07/2020,0.979905107,0.014470738,AE
02/07/2020,0.985169854,0.014210908,AE
03/07/2020,1.035056873,0.014123084,AE
04/07/2020,1.088479642,0.014505504,AE
05/07/2020,1.1254546,0.014722021,AE
06/07/2020,1.129313986,0.014541717,AE
07/07/2020,1.128457745,0.014208502,AE
08/07/2020,1.101530685,0.013768195,AE
09/07/2020,1.094502518,0.013451668,AE
10/07/2020,1.084277333,0.013085756,AE
11/07/2020,1.069276843,0.013106537,AE
12/07/2020,1.049319946,0.012795653,AE
13/07/2020,1.022758695,0.012490254,AE
14/07/2020,1.009223605,0.012290087,AE
15/07/2020,0.987819485,0.012208236,AE
16/07/2020,0.970785437,0.012101569,AE
17/07/2020,0.918894528,0.011471536,AE
18/07/2020,0.864882582,0.011366382,AE
19/07/2020,0.810544154,0.011202241,AE
20/07/2020,0.794620484,0.011468059,AE
21/07/2020,0.7875818,0.011818675,AE
22/07/2020,0.784118331,0.012304307,AE
23/07/2020,0.767876572,0.012779071,AE
24/07/2020,0.762532874,0.012912339,AE
25/07/2020,0.779337006,0.013740718,AE
26/07/2020,0.803220477,0.014320402,AE
27/07/2020,0.818671121,0.014889462,AE
28/07/2020,0.846604281,0.0154398,AE
29/07/2020,0.8945585,0.016169577,AE
30/07/2020,0.920228928,0.016224312,AE
31/07/2020,0.932921745,0.016389952,AE
01/08/2020,0.936115527,0.016123718,AE
02/08/2020,0.952605698,0.016071257,AE
03/08/2020,0.935547999,0.015753161,AE
04/08/2020,0.91605968,0.015544056,AE
05/08/2020,0.931118667,0.015686846,AE
06/08/2020,0.938613069,0.015798944,AE
07/08/2020,0.938404243,0.015808807,AE
05/04/2020,1.787323487,0.109153951,AF
06/04/2020,1.66898452,0.099173885,AF
07/04/2020,1.593052249,0.091570745,AF
08/04/2020,1.487346149,0.083817594,AF
09/04/2020,1.47880579,0.079722716,AF
10/04/2020,1.442853325,0.07544434,AF
11/04/2020,1.451551298,0.07301849,AF
12/04/2020,1.478318551,0.071276707,AF
13/04/2020,1.395705925,0.066077467,AF
14/04/2020,1.419621906,0.064647798,AF
15/04/2020,1.345561605,0.060339151,AF
16/04/2020,1.31150009,0.057955925,AF
17/04/2020,1.369419142,0.057435411,AF
18/04/2020,1.313901289,0.054707233,AF
19/04/2020,1.269193743,0.052302978,AF
20/04/2020,1.23159231,0.049765369,AF
21/04/2020,1.199446321,0.048718983,AF
22/04/2020,1.267763584,0.04879782,AF
23/04/2020,1.323843198,0.048613292,AF
24/04/2020,1.318217264,0.047510019,AF
25/04/2020,1.369322937,0.047691951,AF
26/04/2020,1.317037488,0.045847443,AF
27/04/2020,1.398247278,0.045592979,AF
28/04/2020,1.414560123,0.045158283,AF
29/04/2020,1.373530328,0.042948794,AF
30/04/2020,1.483722398,0.044515538,AF
01/05/2020,1.484224116,0.043197603,AF
02/05/2020,1.477211451,0.042503813,AF
03/05/2020,1.519088775,0.04182162,AF
04/05/2020,1.53231514,0.041031533,AF
05/05/2020,1.607091099,0.041968834,AF
06/05/2020,1.524765452,0.039177805,AF
07/05/2020,1.436591751,0.037020397,AF
08/05/2020,1.411793805,0.03504705,AF
09/05/2020,1.393954433,0.033547641,AF
10/05/2020,1.457815469,0.033839642,AF
11/05/2020,1.413747875,0.032493649,AF
12/05/2020,1.384913258,0.031089367,AF
13/05/2020,1.360481125,0.030227652,AF
14/05/2020,1.350153569,0.028821948,AF
15/05/2020,1.365678555,0.028158129,AF
16/05/2020,1.362490033,0.027367224,AF
17/05/2020,1.292898903,0.026056245,AF
18/05/2020,1.292645932,0.025043089,AF
19/05/2020,1.304784696,0.024533779,AF
20/05/2020,1.333193452,0.024181092,AF
21/05/2020,1.361251953,0.024330359,AF
22/05/2020,1.367684875,0.024016111,AF
23/05/2020,1.414067788,0.024076393,AF
24/05/2020,1.374060531,0.023851424,AF
25/05/2020,1.352981306,0.023277978,AF
26/05/2020,1.348871898,0.022936623,AF
27/05/2020,1.340235351,0.022029887,AF
28/05/2020,1.295541413,0.021154893,AF
29/05/2020,1.264180199,0.020333431,AF
30/05/2020,1.288594155,0.020123934,AF
31/05/2020,1.293683214,0.019604539,AF
01/06/2020,1.253634857,0.018609556,AF
02/06/2020,1.222883609,0.017925703,AF
03/06/2020,1.210411205,0.017445949,AF
04/06/2020,1.200240163,0.016524737,AF
05/06/2020,1.206311333,0.016395547,AF
